"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Oceania",2663.498,962.145,3194.629,4706.032,9286.929,1639.834,3495.846,5939.912,5656.519,8129.051,144203.83,15489.576,75882.732,21622.278,32564.715,64424.614,44049.361,45582.076,44726.565,30095.896,26753.527,16354.294,21480.505
"    Developed economies: Asia and Oceania",899346.5649999999,871616.147,1043197.932,824337.446,760396.697,1154072.683,1291637.341,2390180.788,3781132.493,4095272.526,4076006.826,4923798.19,6963039.995,8987914.744000001,9900196.938999999,15069027.635,15450702.955,13578680.756,12644631.391,12828335.804,9545039.162000001,11221201.619,12360433.771
"    Developing economies: Asia and Oceania",1516389.897,1334061.03,1427329.421,1126456.001,677528.541,860895.5060000001,1049371.091,1625461.603,3246409.085,3939569.54,5057814.473,4792469.335,4725258.306,4713722.585,5198294.76,6955765.466,8371377.755,7587870.251,9508614.374,10467803.798,9545489.617000001,8271693.783,6076597.757
"Developing economies excluding China",1586680.022,1421313.574,1448022.849,1139533.577,684550.978,877842.91,1179935.653,1743362.833,3509722.417,4097875.784,5177660.148,5070027.227,5003026.067,4950777.878,5469271.402,7637980.668,9327393.585999999,8701499.169,11317003.403,12714063.39,11069488.958,9483942.498,7351598.145
"Developing economies excluding LDCs",1586674.336,1421021.011,1447974.02,1139369.272,684522.535,877833.551,1179742.156,1743334.381,3509700.921,4097624.184,5177401.234,5068719.88,5001875.445,4950426.836,5467051.999,7636376.165,9322052.049000001,8699657.65,11313698.708,12711116.745,11064712.695,9470063.619999999,7340223.252
"Developing economies excluding LDCs and China",1586674.336,1421021.011,1447974.02,1139369.272,684522.535,877833.551,1179742.156,1743334.381,3509700.921,4097624.184,5177401.234,5068719.88,5001875.445,4950426.836,5467051.999,7636376.165,9322052.049000001,8699657.65,11313698.708,12711116.745,11064712.695,9470063.619999999,7340223.252
"Developing economies excluding LDCs: Africa",607.663,392.189,386.969,360.898,526.937,217.54,1019.405,700.119,30241.482,27159.517,15057.51,14149.337,11751.769,7479.095,15091.082,13523.104,31705.645,130133.462,144562.807,30641.286,13454.131,6590.349,8837.103999999999
"Developing economies excluding LDCs: America",69681.738,86568.37,20257.63,12667.229,6493.584,16726.922,129397.605,117182.936,233051.764,131012.134,104693.951,262152.226,265827.403,229325.86,253963.967,667361.466,919154.603,983212.54,1661987.924,2214580.376,1509045.012,1196300.208,1257214.221
"Developing economies excluding LDCs: Asia",1516384.935,1334060.452,1427329.421,1126341.145,677502.014,860889.089,1049325.146,1625451.326,3246407.675,3939452.533,5057649.773,4792418.317,4724296.273,4713621.881,5195292.486,6955491.595,8370983.437,7586157.011,9506970.012,10454710.68,9541800.721999999,8266772.598,6073982.418
"Developing economies excluding LDCs: Oceania","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2704.464,"..",208.364,154.637,177.965,11184.403,412.83,400.465,189.509
