"DIRECTION - Inward"
"MODE - Stock"
"MEASURE - US Dollars at current prices in millions"

YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"          China","..","..","..","..","..","..","..","..","..","..",1074,1339,1769,2685,4104,6060,8303.73,10617.26,13810.94,17203.51,20690.62,25056.96,36064.47,63579.42,74151,101098,128069,153995,175156,186189,193348,203142,216503,228371,245467,272094,292559,327087,378083,473083,587817,711802,832882,956793,1085293,1220903,1354613,1490933
"ASEAN (Association of Southeast Asian Nations)","..","..","..","..","..","..","..","..","..","..",17413.0809719329,19913.3985167679,22670.6177195178,24603.2730673439,26136.9392098623,28454.1736989222,28579.5612175111,33849.2109958769,39246.7213080822,46240.8385927209,61640.2315762766,73456.2966544575,83297.67346242179,97734.9601972697,120203.8500699511,147581.8509805576,192889.7909833324,187993.6631888548,219688.5191063342,246998.0235546308,257602.6168254022,258966.2364996446,285364.1855065695,324996.2041065504,372910.6950182268,433248.466771788,554923.3189197002,737814.7753475779,778683.7767475975,890721.1065925864,1144164.543100878,1264580.63876896,1482084.72168374,1610011.445182095,1765963.574613388,1820511.929803517,1919308.951664598,2161950.087487338
"OECD (Organisation for Economic Cooperation and Development)","..","..","..","..","..","..","-","-","-","-",426778.4185217956,459716.6438925896,478100.0772178741,519232.4073873248,538705.9069923186,648860.9948458767,783521.906228984,960468.6082095304,1131098.563002729,1413758.281528239,1740884.0394976,1988243.803404149,1961982.77080458,2095070.902868554,2282921.462099332,2806985.274416692,3249523.529462691,3717468.094533183,4818606.68067825,5684232.387803976,5989539.723024366,5905869.228963799,5801739.597448384,7342295.481314093,8410655.107566733,8915023.35872316,10829532.70970675,13356673.69406751,11068784.36709398,13060302.56363769,13851945.87897106,14214969.44690199,15217781.22274182,16543764.81373788,16836430.28667395,16913258.58770569,18177592.04397444,20868947.65698976
