"PRODUCT -   Unclassified products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Asia",164493.321,253037.531,302457.481,221661.693,347700.161,498827.275,545262.25,513837.288,676830.847,947665.002,1017567.052,1171007.437,1682069.328,1908875.443,1401652.197,1886149.187,1953738.85,1922109.932,1615799.042,1707173.082,1880024.721,1904379.214,2082645.968
"    Developed economies: Europe",303619.324,248931.365,244283.132,273368.798,205642.158,749680.044,555101.095,681293.13,978588.706,1361713.249,2159432.27,2155947.987,3772436.654,3558692.453,12981711.128,4269977.558,4418634.931,3844580.882,3686566.399,3960326.977,3535514.648,4209431.289,3667424.006
"    Developed economies: Oceania",20506.516,17846.319,20106.833,19627.5,31939.564,86537.815,87304.284,172207.474,213233.297,211780.587,344254.66,475799.77,647623.894,1003979.117,182483.826,794610.985,1013022.985,1217108.957,324344.378,1000558.966,818489.992,934369.472,343525.463
"    Developed economies: Asia and Oceania",184999.837,270883.85,322564.314,241289.193,379639.725,585365.09,632566.534,686044.762,890064.144,1159445.589,1361821.712,1646807.207,2329693.222,2912854.56,1584136.023,2680760.172,2966761.835,3139218.889,1940143.42,2707732.048,2698514.713,2838748.686,2426171.431
"    Developing economies: Asia and Oceania",1327032.441,1391118.064,1580172.274,1386408.565,1431954.836,1573227.922,1722353.215,2120242.063,2505470.885,2981246.518,5785713.948,7392959.827,4716657.759,8484567.191,5219205.09,6988207.402,12090935.199,25628763.607,24867390.615,20083321.465,12721386.882,10192264.248,8820919.408
"Developing economies excluding China",1361007.144,1439597.968,1659565.459,1476938.079,1555769.525,1724140.353,1901628.005,2422489.88,2722093.18,3535508.133,6490110.04,8336612.752,11628777.205,9467866.27,6160467.924,8323250.983,13863468.529,28109880.618,27100987.711,21746139.299,15475439.165,13217084.532,11853699.901
"Developing economies excluding LDCs",1318954.077,1407759.265,1572426.702,1475164.608,1531713.15,1727319.539,1891108.035,2355260.043,2717338.305,3499958.083,6408625.189,8171560.826,11557768.416,9540837.338,6265879.539,8330444.644,14007121.296,27981286.986,27648123.553,22199569.034,15712647.75,12910845.653,12763685.774
"Developing economies excluding LDCs and China",1318954.077,1407759.265,1572426.702,1475164.608,1531713.15,1707988.241,1873473.32,2326564.076,2675633.533,3448371.999,6348478.952,8101541.963000001,11421014.875,9344174.726,6055677.741,8190704.61,13721048.21,27614952.474,26935737.689,20737323.111,14401199.815,12910845.653,11617851.826
"Developing economies excluding LDCs: Africa",13887.009,14185.735,17638.965,14571.341,9939.084000000001,19590.678,96358.08900000001,90150.477,57773.653,86531.412,99145.561,163955.468,296346.731,144209.307,172208.759,180605.764,209514.117,259866.125,378539.214,368114.797,378144.713,425205.094,386446.165
"Developing economies excluding LDCs: America",17348.313,29950.827,57909.528,75076.861,99896.432,144255.693,86614.27400000001,199775.469,174362.041,463708.219,558604.429,769321.711,6619900.708,987750.08,954778.424,1266489.152,1802980.305,2508882.793,2515722.216,2569249.922,3020999.449,2553882.219,3737466.738
"Developing economies excluding LDCs: Asia",1287639.804,1363559.028,1496742.225,1384921.665,1421234.005,1562433.19,1707466.547,2062654.548,2481639.352,2942965.56,5745395.908,7231877.296,4617550.848,8398844.313999999,5129255.819,6542616.464,11885391.798,25190768.069,24743226.925,19249557.123,12304061.655,9922446.999,8629686.352
"Developing economies excluding LDCs: Oceania",78.95099999999999,63.675,135.984,594.741,643.629,1039.978,669.125,2679.549,3563.259,6752.892,5479.291,6406.351,23970.129,10033.637,9636.537,340733.264,109235.076,21769.999,10635.198,12647.192,9441.933000000001,9311.341,10086.519
"Developing economies excluding LDCs and China: Asia",1287639.804,1363559.028,1496742.225,1384921.665,1421234.005,1543101.892,1689831.832,2033958.581,2439934.58,2891379.476,5685249.671,7161858.433,4480797.307,8202181.702,4919054.021,6402876.43,11599318.712,24824433.557,24030841.061,17787311.2,10992613.72,9922446.999,7483852.404
"LDCs (Least developed countries)",42053.067,31838.703,87138.757,1773.471,24056.375,16152.112,28154.632,95865.72500000001,45631.052,87133.64,141630.349,234437.134,207739.34,123624.568,104782.888,132541.895,142346.794,494806.86,165210.458,1008770.913,1074142.613,305395.866,235090.568
"    LDCs: Africa and Haiti",2739.105,4335.424,3843.648,881.312,13979.173,6397.358,13937.089,40940.519,25362.777,55605.469,106791.341,79084.94500000001,132598.814,47935.096,24462.198,27669.548,46033.896,78578.719,51578.138,187578.506,666245.95,44847.904,53876.167
"    LDCs: Asia",39313.686,27494.241,83242.223,877.4400000000001,10063.881,9740.078,14154.915,54838.165,20081.347,30708.071,34510.001,154386.839,74973.514,75248.53200000001,79633.621,103773.386,95229.469,415800.291,92229.969,797156.152,393333.763,259905.524,180628.529
"    LDCs: Islands",0.276,9.038,52.886,14.719,13.321,14.676,62.628,87.041,186.928,820.1,329.007,965.35,167.012,440.94,687.069,1098.961,1083.429,427.85,21402.351,24036.255,14562.9,642.438,585.872
"    LDCs: Africa",2739.105,4335.424,3843.648,881.312,13979.173,6397.358,13937.089,40940.519,25362.777,55605.469,106791.341,79084.94500000001,132598.814,47935.096,24462.198,27669.548,46033.896,78578.719,51578.138,187578.506,666245.95,44847.904,53876.167
"    LDCs: Islands and Haiti",0.276,9.038,52.886,14.719,13.321,14.676,62.628,87.041,186.928,820.1,329.007,965.35,167.012,440.94,687.069,1098.961,1083.429,427.85,21402.351,24036.255,14562.9,642.438,585.872
"LLDCs (Landlocked developing countries)",31272.06,20101.497,26796.794,5897.72,7216.031,77351.02,11799.366,14137.91,28608.706,55332.399,44632.112,138958.696,215491.387,303941.958,247789.282,294194.575,457596.06,728364.716,186115.95,704050.15,537085.389,349914.947,229681.783
"SIDS (Small island developing States) (UNCTAD)",262.923,202.617,355.389,982.597,1283.529,1840.367,1507.09,5574.669,4894.964,8862.825999999999,10954.944,14758.066,45415.97,17568.138,15080.052,9873.822,10775.31,13433.846,38352.253,44442.06,30716.654,16291.294,17149.237
"High-income developing economies",1137676.066,1320467.74,1464032.157,1374681.05,1434171.534,1616415.297,1664316.147,2084218.928,2542746.793,3124307.547,5958873.969,7448515.159,10376077.207,6730177.334,4413067.413,5398437.446000001,8542669.4,21813901.38,24269044.759,20619770.15,14471273.681,11724900.824,11558229.816
"Middle-income developing economies",190439.788,91660.595,163447.256,96872.99800000001,88171.856,90532.99000000001,229306.277,340434.603,195994.357,410687.636,538726.491,864589.145,1280776.582,2848111.341,1880774.015,2961455.464,5505596.724,6275346.209,3489227.971,2050517.757,1937553.888,1281566.736,1358189.315
"Low-income developing economies",32891.29,27469.633,32086.046,5384.031,33426.135,36510.394,25639.999,26528.848,25050.842,52095.56,52640.026,93514.088,108676.636,86239.17,76828.15300000001,103098.007,101275.294,386967.473,55100.465,538096.545,378058.924,210616.046,83111.5
"Low-income economies (World Bank)",31834.26,25672.41,29749.04,4936.605,28265.93,31200.35,20403.025,15068.139,22815.615,45771.217,35580.079,85169.995,100260.928,78847.688,67746.557,91376.372,92710.886,367178.122,42402.661,522013.194,359452.157,179391.963,48232.136
"Lower-middle-income economies (World Bank)",189026.061,91073.804,101205.571,89015.84,75717.704,86764.107,197280.499,254681.483,167388.853,367715.096,452855.108,693433.314,1227280.266,2847228.31,1869935.008,2741057.89,5281932.874,6235406.566,3430337.958,2050168.658,1924268.769,1289787.835,1366771.126
"Upper-middle-income economies (World Bank)",88968.338,106326.957,248748.554,144776.082,207080.084,317863.471,256043.81,605055.173,496481.652,889228.714,1108562.403,1511412.58,7460800.279,3742971.18,1793419.89,2387511.244,2927493.402,3598907.702,4060630.357,5294238.379,5424977.359,3666709.993,6255565.295
"High-income economies (World Bank)",2095356.483,2405294.81,2721054.396,2880175.492,3250888.456,4457840.659,4537418.252,5267847.18,6874343.474,8578625.522,13198488.285,15511694.404,15645691.682,16509737.461,23477743.647,17087817.106,20330433.823,32746846.518,33668096.94,29946092.766,24265657.237,24156806.67,21366933.557
"High-income OECD members (World Bank)",1046345.926,1189552.911,1394905.268,1639934.223,1995525.298,3078033.538,3088710.157,3688608.006,4805311.752,6328961.962,8264820.628,9401481.179,12664563.116,13336098.26,20541880.337,13465481.449,14261799.426,14373118.068,13231112.568,14129205.015,15031855.838,15659998.307,15568769.485
"High-income non OECD members (World Bank)",1049010.557,1215741.899,1326149.128,1240241.269,1255363.158,1379807.121,1448708.095,1579239.174,2069031.722,2249663.56,4933667.657,6110213.225,2981128.566,3173639.201,2935863.31,3622335.657,6068634.397,18373728.45,20436984.372,15816887.751,9233801.399,8496808.363,5798164.072
"HIPCs (Heavily indebted poor countries) (IMF)",6879.089,8770.339,7977.946,1205.173,13912.943,9707.261,16638.129,20637.288,14971.511,14903.648,44928.696,48999.3,126837.112,95354.424,100201.376,98353.061,90416.41800000001,383163.811,64817.694,524537.819,362020.086,187473.433,66179.921
"LIFDC (Low-income food-deficit countries) (FAO)",78293.43700000001,62542.406,70648.00599999999,89445.02499999999,82807.91,74448.387,118711.82,130778.365,97802.626,199789.329,258854.729,567724.518,672593.1090000001,2174655.227,1210796.136,1961582.649,3883896.876,5590058.457,2845541.742,1618016.297,1099311.642,847404.526,614379.945
"Selected LIFDC (Low-income food-deficit countries)",72320.87,50133.343,60053.395,87406.258,51204.264,37487.464,92942.84299999999,78887.451,62213.578,132695.906,135169.266,492908.409,581683.121,2125901.474,1121485.889,1914188.063,3777396.872,5499580.534,2763708.086,1514054.97,1010170.358,737791.889,532434.895
"Selected exporters of petroleum",6872.387,7106.671,120046.562,24319.224,33005.921,275936.777,270446.356,354157.193,496055.268,675097.4889999999,169170.967,277729.362,247081.279,332088.95,287399.775,698512.296,843879.5500000001,808572.796,851589.754,528568.211,875696.335,452364.276,366067.202
"Selected exporters of manufactured goods",1192098.314,1309562.313,1428275.972,1346391.355,1408063.288,1428382.818,1411394.9,1809195.613,2094691.442,2656788.789,6050562.63,7626087.784,8180160.681,8699516.27,5335832.669,6732485.02,11938015.021,25970303.048,25734346.322,20467543.852,14114214.915,11121767.399,11108742.694
"Selected exporters of manufactured goods and primary commodities",114101.401,69170.735,109034.75,115910.288,150138.798,241265.85,159328.918,285141.842,343694.079,853361.901,969761.764,1203886.184,7154682.471,2103129.319,1817694.005,2249830.691,3173540.594,3408508.477,3862678.695,5030022.439,5503499.27,3722769.717,5555976.408
"Selected exporters of agricultural products",5451.849,5470.332,7138.353,10218.735,6468.121,14624.757,14471.181,26836.076,13070.633,44007.773,23202.975,85765.68399999999,162112.659,113982.83,101975.407,118598.602,167864.469,425339.783,165756.077,568896.338,376868.777,219084.532,102159.468
