"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Asia",3084454.296,3061956.462,3196658.181,3094237.55,3538586.648,4315795.876,4452807.852,5309047.645,6198094.477,7867962.223,9024406.471000001,10796472.894,11851033.423,12871382.541,12365182.209,15986484.354,17570744.58,15925107.694,14663861.678,14152917.798,12724807.271,13415306.021,15605894.203
"    Developed economies: Europe",1238214.23,1044928.276,1221626.475,1242416.497,1330369.58,1546922.013,1822443.02,2323443.13,3465563.861,4637058.782,5618829.375,6956875.614,9125932.257999999,10110451.313,9628212.960000001,11523937.156,12962845.549,11918833.63,13348364.607,14321194.95,12310624.092,12413059.079,14092814.973
"    Developed economies: Oceania",32615.758,46611.317,70224.821,64006.838,101501.524,149231.188,201859.52,267392.151,356242.114,313544.665,221770.543,258473.752,280462.232,255889.538,293675.255,307194.231,364124.632,340274.227,294148.824,275310.639,241250.69,271044.638,334535.531
"    Developed economies: Asia and Oceania",3117070.054,3108567.779,3266883.002,3158244.388,3640088.172,4465027.064,4654667.372,5576439.796,6554336.591,8181506.888,9246177.014,11054946.646,12131495.655,13127272.079,12658857.464,16293678.585,17934869.212,16265381.921,14958010.502,14428228.437,12966057.961,13686350.659,15940429.734
"    Developing economies: Asia and Oceania",14086999.445,14015967.126,15120842.925,13555654.87,14182091.61,18194977.271,18174947.921,20396674.68,25502509.938,33924412.851,40254195.856,45300215.422,50787881.922,51987218.232,49939292.301,68807337.838,82190991.831,79469951.317,77952752.25399999,75745492.36399999,66895519.427,64360615.723,73114673
"Developing economies excluding China",14316845.43,14239823.112,15440498.067,13863411.471,14368423.771,18442926.328,18455119.816,20784205.138,26450358.367,34745207.268,41425165.031,46460024.968,53071817.221,53990833.89,53596841.613,71975974.34800001,85724399.70200001,82741372.943,81079348.236,78739153.625,70082753.406,67093085.883,75866105.70900001
"Developing economies excluding LDCs",14305139.118,14230614.796,15439986.654,13862829.882,14367638.369,18442574.146,18451567.061,20779211.457,26446235.815,34735525.067,41411243.917,46450046.877,53048340.233,53962320.582,53568428.341,71919255.93000001,85608436.01700001,82642324.28,80968628.601,78417096.59999999,69759704.78900001,66854642.687,75405017.39200001
"Developing economies excluding LDCs and China",14305139.118,14230614.796,15439986.654,13862829.882,14367638.369,18442574.146,18451567.061,20779211.457,26446235.815,34735525.067,41411243.917,46450046.877,53048340.233,53962320.582,53568428.341,71919255.93000001,85608436.01700001,82642324.28,80968628.601,78417096.59999999,69759704.78900001,66854642.687,75405017.39200001
"Developing economies excluding LDCs: Africa",123100.721,79857.741,111289.152,134705.538,100219.106,86774.80100000001,106441.8,71205.641,151788.343,209652.803,210064.278,303406.966,726917.244,766366.771,1231859.021,1350951.549,1466041.072,1116250.781,1379727.118,1499145.08,1583478.389,1434782.76,1185684.788
"Developing economies excluding LDCs: America",106511.734,143471.419,208014.643,172694.562,85971.082,161042.148,173536.017,316246.053,795642.8320000001,610548.882,957392.672,853467.127,1554193.621,1231635.101,2422149.089,1808246.537,2042885.96,2135399.245,1724355.415,1464835.068,1582221.902,1266057.3,1529133.014
