"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Europe",1214178.822,1456987.686,2298525.204,2189086.568,1883448.702,1866213.434,2096402.088,2937721.095,3850274.091,6012448.735,6725054.794,10006142.187,11115800.961,13604754.302,12592443.472,16421777.89,21195521.663,23789521.988,25683081.186,29900583.903,28902080.383,29703572.48,35965207.829
"    Developed economies: Oceania",36374.874,28553.251,26060.561,18707.066,28568.503,29744.917,33987.7,26248.768,60593.047,96991.35400000001,88098.947,135437.048,187598.068,213908.41,244022.87,392276.281,564456.4,900033.363,617258.389,326671.49,475882.181,708996.148,764569.621
"    Developed economies: Asia and Oceania",632995.1090000001,673849.129,595665.65,801540.5990000001,792811.77,1103981.086,1158532.451,1658891.887,2722934.963,4010855.803,3921844.428,4338814.68,4365576.316,4936318.792,4765861.626,7617969.608,9281312.130000001,9634769.527000001,9038136.832,9375368.774,8443483.847999999,8531911.528000001,10188838.743
"    Developing economies: Asia and Oceania",1603000.697,1910342.538,2156735.986,2275065.161,2497994.812,3350431.001,3780430.248,3770393.558,7795356.915,13114115.947,17145798.029,20003278.996,27400011.494,32870716.294,30229770.631,42622857.855,44108891.438,46274064.898,43666152.756,41029530.481,37972191.203,35048696.234,36840004.473
"Developing economies excluding China",1606255.003,1916245.11,2166048.027,2280737.687,2504206.538,3397066.153,3889773.443,3787938.043,7826021.302,13168588.101,17187336.056,20083037.881,27555262.017,33245853.902,30661969.441,43228543.304,44919284.691,47373203.91,44237290.797,41473250.864,38383141.436,35625184.204,37525647.112
"Developing economies excluding LDCs",1606162.295,1916010.908,2165885.736,2280730.863,2504149.301,3396513.571,3889676.307,3787858.067,7824730.726,13166176.717,17184408.504,20079106.718,27551888.628,33243082.726,30660669.823,43225967.165,44893811.57,47352391.878,44224252.329,41419023.517,38324344.45,35551415.55,37443816.961
"Developing economies excluding LDCs and China",1606162.295,1916010.908,2165885.736,2280730.863,2504149.301,3396513.571,3889676.307,3787858.067,7824730.726,13166176.717,17184408.504,20079106.718,27551888.628,33243082.726,30660669.823,43225967.165,44893811.57,47352391.878,44224252.329,41419023.517,38324344.45,35551415.55,37443816.961
"Developing economies excluding LDCs: Africa",1824.413,1890.391,2199.577,2696.377,4872.13,2764.93,1408.827,1862.017,2505.452,5426.277,8264.423000000001,38386.793,51647.678,78728.246,30505.132,145984.398,65472.724,58377.88,67442.251,68031.446,55692.177,67287.317,79895.57700000001
"Developing economies excluding LDCs: America",1429.893,3829.397,7052.464,2976.149,1301.62,43328.098,107865.155,15625.806,28144.375,48956.694,33062.442,40925.147,103433.354,295611.886,401278.107,457549.612,724766.0550000001,1027365.747,494848.086,343198.733,343142.651,502230.506,587046.004
"Developing economies excluding LDCs: Asia",1602904.136,1910289.365,2156631.782,2275057.484,2497975.04,3350393.139,3780402.265,3770370.12,7794080.664,13111793.417,17143081.639,19999766.54,27396807.22,32868741.744,30228294.597,42622432.223,44103037.431,46266534.169,43661667.845,41007457.52,37925234.394,34981478.548,36776536.28
