"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: Asia",150952.713,209719.973,242896.116,230980.535,328651.139,477112.271,558860.2070000001,726900.049,926337.573,1155679.408,1403258.004,1761209.828,2108181.927,2618745.039,2069030.639,2619277.734,3213857.952,3683579.333,3933296.651,4191375.534,3851807.44,3950885.73,4261836.576
"    Developed economies: Europe",126882.227,142800.493,168583.635,218160.62,305021.085,450015.558,524898.898,664175.698,1027356.082,1608755.949,2280738.348,2887891.614,4011637.942,5304340.334,4185974.454,5194589.153,5869646.65,5537622.542,5817068.185,6266478.973,6430619.498,7261212.189,8960582.878000001
"    Developed economies: Oceania",46632.426,54764.526,50904.845,42756.272,63795.137,80419.64900000001,73014.694,100415.428,120602.716,205217.363,248257.643,315783.462,427000.819,482627.308,417976.161,573420.904,684188.509,806009.875,807891.5500000001,773364.586,756653.721,714998.282,833453.89
"    Developed economies: Asia and Oceania",197585.139,264484.499,293800.961,273736.807,392446.276,557531.92,631874.901,827315.477,1046940.289,1360896.771,1651515.647,2076993.29,2535182.746,3101372.347,2487006.8,3192698.638,3898046.461,4489589.208,4741188.201,4964740.12,4608461.161,4665884.012,5095290.466
"    Developing economies: Asia and Oceania",679668.4399999999,707225.664,805893.62,592072.264,766462.407,1742754.611,1393696.527,1297058.102,1554897.892,2020681.583,2881111.533,4039128.914,5126034.023,7020509.872,5710006.02,7739178.845,10399574.207,10990873.552,12218726.423,13928103.055,14644251.302,13756471.392,15382559.825
"Developing economies excluding China",853955.35,851350.047,998326.848,812970.38,992543.88,2040920.682,1821710.492,1762497.498,2313345.215,3156018.751,4966592.267,7157393.706,10439444.893,14686493.232,11287780.645,15563397.674,20778942.09,23315992.33,25307519.566,27117944.158,27122483.926,24184569.761,27811965.909
"Developing economies excluding LDCs",767500.322,773022.478,920153.3270000001,745467.927,927680.955,1955883.015,1728276.272,1611348.698,2063884.88,2843827.697,4523056.901,6594039.715,9720024.206,13436669.564,10062810.751,14231625.032,19008472.413,21146730.972,22852248.007,24255607.839,24159680.87,21254946.011,24797901.612
"Developing economies excluding LDCs and China",767500.322,773022.478,920153.3270000001,745467.927,927680.955,1952187.462,1722258.674,1603955.264,2050180.421,2827714.51,4501635.375,6571030.758,9672041.052999999,13374288.394,9998153.903000001,14169622.886,18935711.328,21075577.423,22773796.095,24156711.265,24087038.427,21254946.011,24703837.743
"Developing economies excluding LDCs: Africa",64648.882,56738.425,68125.84299999999,84561.302,86006.49400000001,96421.45200000001,158724.102,185050.141,368349.626,429744.272,790611.633,1045320.282,2213351.179,3039115.675,2281429.552,2960008.415,3037890.604,4006931.539,4062766.748,4118755.283,3666651.516,2459385.154,2589876.499
"Developing economies excluding LDCs: America",76594.057,60168.601,86278.264,99429.587,111919.078,164330.182,231641.504,234442.424,295592.874,535940.7879999999,996122.173,1704632.316,2592340.718,3648703.818,2338716.75,3873438.939,6126204.056,6713532.254,7262916.843,7051654.095,7003199.235,6309399.293,8148445.169
"Developing economies excluding LDCs: Asia",625240.976,655035.374,764904.195,560667.195,728711.137,1693467.212,1336241.292,1189787.414,1396000.723,1871392.005,2726410.005,3833294.27,4898318.358,6732070.477,5423141.361,7364956.178,9806523.98,10378868.687,11472789.62,13018733.189,13446597.058,12436935.1,14006856.671
"Developing economies excluding LDCs: Oceania",1016.407,1080.078,845.025,809.843,1044.246,1664.169,1669.374,2068.719,3941.657,6750.632,9913.09,10792.847,16013.951,16779.594,19523.088,33221.5,37853.773,47398.492,53774.796,66465.272,43233.061,49226.464,52723.273
"Developing economies excluding LDCs and China: Asia",625240.976,655035.374,764904.195,560667.195,728711.137,1689771.659,1330223.694,1182393.98,1382296.264,1855278.818,2704988.479,3810285.313,4850335.205,6669689.307,5358484.513,7302954.032,9733762.895,10307715.138,11394337.708,12919836.615,13373954.615,12436935.1,13912792.802
"LDCs (Least developed countries)",85750.622,75564.692,77497.41899999999,66964.52400000001,64331.602,87905.91800000001,99106.632,158248.414,263074.329,327131.088,462906.107,584682.048,755924.852,1245559.681,1264066.625,1381866.808,1808252.65,2197896.672,2500850.482,2920045.255,3007063.642,2918959.001,3062665.089
"    LDCs: Africa and Haiti",32339.017,24454.48,37353.019,36369.298,27615.485,40280.956,43312.512,53046.445,108090.727,184573.269,318056.424,389316.83,543755.1360000001,973318.054,995438.379,1039074.162,1251682.96,1631622.222,1807149.18,2075094.091,1850640.558,1644871.727,1737103.436
"    LDCs: Asia",53365.498,51080.739,39806.896,30389.839,36617.597,47531.308,55675.719,105094.229,154500.754,141787.637,144425.787,193657.695,209931.004,269260.131,264651.758,338209.815,551950.882,559356.338,688080.488,835381.5820000001,1142059.478,1250336.018,1304442.591
"    LDCs: Islands",46.107,29.473,337.504,205.387,98.52,93.654,118.401,107.74,482.848,770.182,423.896,1707.523,2238.712,2981.496,3976.488,4582.831,4618.808,6918.112,5620.814,9569.582,14363.606,23751.256,21119.062
