"DIRECTION - Outward"
"MODE - Flow"
"MEASURE - US Dollars at current prices in millions"

YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"          China","..","..","..","..","..","..","..","..","..","..","..","..",44,93,134,629,450,645,850,780,830,913,4000,4400,2000,2000,2114,2562.49,2633.807,1774.313,915.777,6885.398,2518.407,2854.65,5497.99,12261.17,17633.97,26506.09,55907.17,56528.99,68811.31,74654.0400000001,87803.53,107843.7100000001,123119.8599999999,145667.1511,196149.43,124630
"ASEAN (Association of Southeast Asian Nations)","..","..","-","-","-","-","-","-","-","-","-","-","-",304.0035218094,367.7933786759,539.2811690186001,430.8348293046,641.0530837420999,382.3889038435,1250.927982073,2328.0940269733,922.8513796996,2466.7721632995,4304.3185498734,11019.5621304143,12164.6580351917,14829.7917757227,15862.4963070763,4835.0213097514,10108.3146163761,9026.2896733404,20802.9000321576,5001.7914302131,6015.7196301548,19286.1175253506,20067.4417432618,30456.4778776712,64448.0110535552,33155.9219716561,49680.0832934673,63267.2099626702,64161.6978200733,58615.8733302265,81334.9508024016,88354.9656358275,54918.5185912787,38956.3378042617,55026.4302796345
"OECD (Organisation for Economic Cooperation and Development)",14100.4475669555,14398.1850512826,15657.5539737979,25810.1991257078,24199.361869901,28061.4333963386,27926.3985305274,28150.2039888466,38613.4178792627,62483.8786403783,49446.959563936,50936.770381104,25536.8447101857,35820.0724910773,48159.8572765043,59208.9462491977,93521.758333994,136140.5684237076,171149.6822295335,215401.6555722981,232094.6465227561,189671.4236373614,182210.3015465695,202714.0217801505,243862.4737492603,308679.5870510393,337013.051478195,404698.7844591501,642637.0807952207,1025463.76679467,1081284.35158894,632092.8929730045,457461.8747757798,486206.5512031188,782165.3705337917,706802.3017690866,1132280.038546102,1861121.828179618,1379460.537449167,859552.3434063998,997857.0107104847,1197774.17961593,996532.9321176774,951226.1167880514,781842.3952484329,1225024.836497901,1086552.070972732,1058638.999606191
