"DIRECTION - Outward"
"MODE - Stock"
"MEASURE - US Dollars at current prices in millions"

YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"          China","..","..","..","..","..","..","..","..","..","..","..",39.358350043,44,137,271,900,1350,1995,2845,3625,4455,5368,9368,13768,15768,17768,19882,22444.49,25078.297,26852.61,27768.387,34653.785,37172.192,33222.22,44777.26,57205.62,75025.55,117910.5,183970.71,245755.38,317210.59,424780.67,531940.5800000001,660478.4,882642.4199999992,1097864.59,1357390.45,1482020.45
"ASEAN (Association of Southeast Asian Nations)","..","..","..","..","..","..","..","..","..","..","-","-","-","-","-","-","-","-","-","-",9471.3653331281,11209.6256760107,14145.634031864,18022.0204586854,35385.5739487153,48979.102325667,59165.9640082753,66654.3046060889,68815.77624271769,80870.7848561515,84549.0061495298,102177.9255486427,130420.6513028459,160215.6691219169,191429.2710427609,219609.1065737965,317472.1268882288,423071.4355642716,405677.2198392268,488081.9631734481,601095.0011369819,663434.031380184,768499.4293526567,863052.5141355499,944282.2261718235,999133.1400289899,1072468.355507628,1204078.832411432
"OECD (Organisation for Economic Cooperation and Development)","..","..","..","..","..","..","-","-","-","-",490028.9587738826,524082.1806844421,529147.81134158,607806.2530306313,625554.0283143683,822317.9841225437,1070899.672335952,1280559.729908647,1510379.94827798,1811131.918359175,2120026.249536212,2382938.706119569,2372457.510862195,2728867.642780714,3046872.621646037,3698288.849230549,4217044.491066448,4760862.57466007,5743630.435238775,6514453.613283839,6742030.214445232,6555991.802601893,6578340.331300682,8357556.423850328,9797624.037495803,10656987.4967139,13215412.74610828,16064525.89333551,13570059.37131003,16309929.4267663,17630928.55819736,17748021.97766801,18552627.59349398,20220173.36481258,19838380.11057176,19830300.59757444,20645496.18519187,23895207.19394823
