"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developed economies: America",631941.281,645310.885,860972.8100000001,1058710.24,1134562.888,1897279.733,1591400.856,2009533.062,2796281.937,4228202.83,6542857.223,8476491.339,9650621.349,12670749.391,7618985.368,8617271.197000001,10971141.178,11462203.565,11467254.959,13757675.211,14021793.343,12347103.536,14297502.617
"    Developed economies: Asia",1371195.347,938170.6360000001,1029655.713,797669.706,833748.3860000001,1121074.34,1090035.896,1219702.285,1662808.509,2412410.813,3094646.761,3737718.259,4603628.695,5908662.848,3451546.387,5140340.584,8156790.04,6950239.619,6243961.852,6478934.551,5766632.374,5593552.558,6225544.524
"    Developed economies: Europe",1180748.908,1040347.434,1229622.9,1373482.645,1457214.349,2043423.385,1882604.364,2208250.22,3028959.461,4174813.84,5441349.8,6583709.394,10052573.949,12071148.326,7674284.91,9594749.761,12486165.784,11430607.827,11636193.625,12748403.37,12197989.445,12719516.953,14895411.232
"    Developed economies: Oceania",84064.927,83565.22900000001,95498.046,106421.769,127576.631,169828.646,227056.535,293024.281,404734.631,625817.549,787057.767,787439.298,1298172.229,1888969.098,1551360.345,2084892.502,2577757.089,3299236.192,3326337.139,3324768.631,3048346.677,2791135.345,3207290.493
"    Developed economies: Asia and Oceania",1455260.274,1021735.865,1125153.759,904091.475,961325.017,1290902.986,1317092.431,1512726.566,2067543.14,3038228.362,3881704.528,4525157.557,5901800.924,7797631.946000001,5002906.732,7225233.086,10734547.129,10249475.811,9570298.991,9803703.182,8814979.051000001,8384687.903,9432835.017000001
"    Developing economies: Asia and Oceania",6432612.155,5527857.55,6180230.81,4486476.255,4889148.198,7254382.259,6031322.707,7095600.681,9202788.605,15180359.983,19026162.033,24183283.91,31969547.781,36759080.815,26276141.286,37130772.315,50056738.304,50114277.133,51340113.465,62065949.679,62299312.55,56015075.066,64154020.537
"Developing economies excluding China",6858748.361,6003479.58,7002656.315,5355287.125,5552036.192,7608963.454,6512252.157,7617495.779,10047821.037,16659185.089,21429549.142,27296655.567,36775411.565,44883978.648,33210471.51,45515122.296,62241644.993,64168727.294,67852017.476,81603718.689,81978342.208,74838208.81,83392841.30400001
"Developing economies excluding LDCs",6645246.887,5783006.148,6742559.929,4830963.493,5112742.087,7618614.268,6578581.998,7718422.025,10130183.418,16790935.046,21679750.385,27565255.845,37555481.387,44967947.645,32882028.797,45545818.278,61968711.226,63184875.996,66063168.188,78955521.41500001,78206295.13,69131098.634,78941751.707
"Developing economies excluding LDCs and China",6645246.887,5783006.148,6742559.929,4830963.493,5112742.087,7142405.991,6036313.567,7151671.288,9392640.867000001,15693063.52,20204146.429,25714499.981,35107003.531,42338657.611,30782074.669,42804362.775,58872049.206,60335624.577,63351319.29,76386352.067,75948531.552,69131098.634,77035842.332
"Developing economies excluding LDCs: Africa",193064.75,205079.599,493619.568,279218.51,288310.851,238029.175,303589.063,312336.621,461874.351,674036.673,1046466.954,1524423.893,2252209.659,3687687.483,3800695.813,3728754.811,4211828.716,4987656.529,5609201.087,6596002.89,6342673.624,5883917.738,6996730.456
"Developing economies excluding LDCs: America",181771.492,210849.246,261755.786,320292.715,279493.29,461445.071,533059.669,618690.545,878532.48,1506448.859,2246871.811,2809521.657,4275744.119,5890098.164,4035491.336,6175011.542,9508661.158,10115202.607,11423415.906,12998446.278,12879274.733,10699331.413,11671551.038
"Developing economies excluding LDCs: Asia",6263862.719,5359709.193,5980246.742,4226814.691,4540431.621,6914104.904,5736397.564,6780361.188,8779408.23,14597628.221,18371036.237,23213489.788,31005666.835,35358671.507,24989640.914,35568927.832,48178775.552,47993058.675,48936263.361,59271841.91,58899393.621,52474124.164,60183343.023
"Developing economies excluding LDCs: Oceania",6547.926,7368.11,6937.833,4637.577,4506.325,5035.118,5535.702,7033.671,10368.357,12821.293,15375.383,17820.507,21860.774,31490.491,56200.734,73124.09299999999,69445.8,88958.185,94287.834,89230.337,84953.152,73725.319,90127.19
"Developing economies excluding LDCs and China: Asia",6263862.719,5359709.193,5980246.742,4226814.691,4540431.621,6437896.627,5194129.133,6213610.451,8041865.679,13499756.695,16895432.281,21362733.924,28557188.979,32729381.473,22889686.786,32827472.329,45082113.532,45143807.256,46224414.463,56702672.562,56641630.043,52474124.164,58277433.648
