"DIRECTION - Inward"
"MODE - Flow"
"MEASURE - US Dollars at current prices in millions"

YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"          China","..","..","..","..","..","..","..","..","..",0.08,57,265,430,916,1419,1956,2243.73,2313.53,3193.68,3392.57,3487.11,4366.34,11007.51,27514.95,33766.5,37520.53,41725.52,45257.04,45462.75,40318.71,40714.81,46877.59,52742.86,53504.7,60630,72406,72715,83521,108312,95000,114734,123985,121080,123911,128500,135610,133710,136320
"ASEAN (Association of Southeast Asian Nations)",459.9428846154,559.5653846154,596.7705769231,1245.3837116142,1418.2886464361,2142.7462871149,1560.9321611659,1245.833009446,1379.4455766347,1698.0084495737,2636.1206666667,3596.454,3624.304,3292.7651111111,2872.614,2316.424,2870.274,4421.6277037037,7065.5067434631,7715.529480377,12820.849107601,13639.284718103,12739.0835663323,16585.3381494253,20495.8944867778,28632.3705367114,32915.1707128876,35939.6796165166,20925.6207358271,31011.3160982042,21751.2892146768,22161.4151335583,16188.0646749533,30649.4382314639,38085.5216935338,42738.0969813542,63794.1757295506,78584.7088856948,49508.398609994,41386.3137141189,112977.3727807843,86012.2036460486,111823.5135152551,118913.4995954581,129544.8533745022,117278.6099437262,120607.6368488186,133764.1645863234
"OECD (Organisation for Economic Cooperation and Development)",9907.9718398887,10984.4086467936,12183.3451240538,15960.8880387405,22191.831502163,17436.0126691778,16276.1116982741,20592.6216688365,26374.781124563,34739.8901176095,49242.4975123589,49325.6323970482,34134.455091634,35156.1194238276,41070.1800128516,44253.3965553148,74348.1843103359,119503.5071581941,138976.04254319,172891.279981291,175024.2466332344,122058.391112956,114745.9841323813,147833.4923922662,165071.0029546191,234424.8873961972,252122.0129999047,304322.862839067,527708.8962375595,881479.5932205722,1149769.023237408,587951.1766361345,442411.4676050841,361059.0849147572,423401.543683775,604456.848013471,955159.8433844789,1286529.513542429,816237.7423976403,685395.6251353443,710357.5645438749,872207.1631919153,861844.8188687578,777909.7985617936,655120.5960053507,1199954.740221802,1187432.449766163,761094.6136083005
